DE;CODDIST;DISTR;CATEG;TIPOESC;CODESCMEC;NOMESC;;ENDESC;NUMESC;COMPLEND;BAIESC;CODCEP;COMPCEP;CEP;CAIXAPOSTA;CEPPOSTAL;DDD;FONE1;FONE1;FONE2;FONE2;FAX;EMAIL;FAX;email;SETOR
SUL 3;23;CIDADE DUTRA;1;08;35923461;HEITOR VILLA LOBOS MAESTRO;Heitor Villa Lobos Maestro;AV DO ARVOREIRO;107;;PARQUE DAS ARVORES;04824;010;04824-010;;;011;59283355;+55 11 5928-3355;59294786;+55 11 5929-4786;59294786;E923461A@EDUCACAO.SP.GOV.BR;+55 11 5929-4786;e923461a@educacao.sp.gov.br;06
SUL 3;30;GRAJAU;1;08;35041762;MARIA JUVENAL HOMEM DE MELLO PROFA;Maria Juvenal Homem De Mello Profa;R MIRAFLORES;95;;PARQUE GRAJAU;04842;470;04842-470;;;011;56631855;+55 11 5663-1855;56631454;+55 11 5663-1454;56631454;E041762A@EDUCACAO.SP.GOV.BR;+55 11 5663-1454;e041762a@educacao.sp.gov.br;01
SUL 3;30;GRAJAU;1;08;35041804;SAMUEL WAINER;Samuel Wainer;R SAO JOSE DO RIO PRETO;71;;CONJUNTO HABITACIONAL BRIGADEIRO FARIA LIMA;04840;460;04840-460;;;011;55281898;+55 11 5528-1898;55281193;+55 11 5528-1193;;E041804A@EDUCACAO.SP.GOV.BR;;e041804a@educacao.sp.gov.br;07
SUL 3;30;GRAJAU;1;08;35044441;EURIPEDES SIMOES DE PAULA PROF;Euripedes Simoes De Paula Prof;R MARIA PAPE;30;;JARDIM LUCELIA;04852;218;04852-218;;;011;55281861;+55 11 5528-1861;59763357;+55 11 5976-3357;;E044441A@EDUCACAO.SP.GOV.BR;;e044441a@educacao.sp.gov.br;08
SUL 3;30;GRAJAU;1;08;35050398;ANA MARIA BENTO PROFESSORA;Ana Maria Bento Professora;R MINISTRO MARIO DAVID ANDREAZZA;94;;PARQUE RESIDENCIAL COCAIA;04849;080;04849-080;;;011;55284498;+55 11 5528-4498;59322826;+55 11 5932-2826;;E050398A@EDUCACAO.SP.GOV.BR;;e050398a@educacao.sp.gov.br;12
SUL 3;30;GRAJAU;1;08;35902901;TANCREDO DE ALMEIDA NEVES PRES;Tancredo De Almeida Neves Pres;AV PAULO GUILGUER REIMBERG;2448;;JARDIM NOVO HORIZONTE;04856;200;04856-200;;;011;55264799;+55 11 5526-4799;55262798;+55 11 5526-2798;55264799;E902901A@EDUCACAO.SP.GOV.BR;+55 11 5526-4799;e902901a@educacao.sp.gov.br;04
SUL 3;30;GRAJAU;1;08;35925317;CONDOMINIO CARIOBA RECANTO MARISA;Condominio Carioba Recanto Marisa;R QUATRO;100;;JARDIM MONTE VERDE;04851;506;04851-506;;;011;59326363;+55 11 5932-6363;;;59326060;E925317A@EDUCACAO.SP.GOV.BR;+55 11 5932-6060;e925317a@educacao.sp.gov.br;11
SUL 3;30;GRAJAU;1;08;35925329;JARDIM MORAES PRADO I;Jardim Moraes Prado I;R JOSE DIOGO ABADIANO;195 A;;JARDIM TRES CORACOES;04855;440;04855-440;;;011;59336601;+55 11 5933-6601;59336603;+55 11 5933-6603;;E925329A@EDUCACAO.SP.GOV.BR;;e925329a@educacao.sp.gov.br;06
SUL 3;30;GRAJAU;1;08;35925330;JARDIM MORAES PRADO II;Jardim Moraes Prado Ii;R JOSE DIOGO ABADIANO;195 B;;JARDIM  MORAES  PRADO;04855;440;04855-440;;;011;59334670;+55 11 5933-4670;59334976;+55 11 5933-4976;;E925330A@EDUCACAO.SP.GOV.BR;;e925330a@educacao.sp.gov.br;06
SUL 3;55;PARELHEIROS;1;08;35038283;JOAQUIM ALVARES CRUZ PROF;Joaquim Alvares Cruz Prof;RUA DOIS;2;;BARRAGEM;04896;020;04896-020;;;011;59784057;+55 11 5978-4057;59784569;+55 11 5978-4569;;E038283A@EDUCACAO.SP.GOV.BR;;e038283a@educacao.sp.gov.br;13
SUL 3;55;PARELHEIROS;1;08;35044436;CARLOS CATTONY PROF;Carlos Cattony Prof;AV JACEGUAVA;11;;BALNEARIO SAO JOSE;04870;425;04870-425;;;011;59792287;+55 11 5979-2287;59792579;+55 11 5979-2579;;E044436A@EDUCACAO.SP.GOV.BR;;e044436a@educacao.sp.gov.br;01
NORTE 2;13;CACHOEIRINHA;1;08;35040319;ALFREDO GOMES PROF;Alfredo Gomes Prof;R MARIA DE SAO JOSE CUNHA;108;;VILA BELA VISTA (ZONA NORTE);02617;050;02617-050;;;011;22582884;+55 11 2258-2884;22581835;+55 11 2258-1835;22582884;E040319A@EDUCACAO.SP.GOV.BR;+55 11 2258-2884;e040319a@educacao.sp.gov.br;03
NORTE 2;13;CACHOEIRINHA;1;08;35911537;DILSON FUNARO MINISTRO;Dilson Funaro Ministro;AV FRANCISCO MACHADO DA SILVA;1410;;JARDIM PERI;02678;000;02678-000;;;011;22587487;+55 11 2258-7487;22584273;+55 11 2258-4273;;E911537A@EDUCACAO.SP.GOV.BR;;e911537a@educacao.sp.gov.br;02
NORTE 2;39;JACANA;1;08;35001041;JOHANN GUTENBERG;Johann Gutenberg;R CAPITAO BUSSE;391;;PARQUE EDU CHAVES;02232;050;02232-050;;;011;22494099;+55 11 2249-4099;22427216;+55 11 2242-7216;22427216;E001041A@EDUCACAO.SP.GOV.BR;+55 11 2242-7216;e001041a@educacao.sp.gov.br;05
NORTE 2;51;MANDAQUI;1;08;35913820;FRANCISCO VOCCIO;Francisco Voccio;R ITA;SN;;VILA SANTOS;02636;030;02636-030;;;011;;;22330095;+55 11 2233-0095;;E913820A@EDUCACAO.SP.GOV.BR;;e913820a@educacao.sp.gov.br;01
NORTE 2;81;TREMEMBE;1;08;35001272;ANGELO BORTOLO;Angelo Bortolo;R ANTONIO GONCALVES SILVA;91;;BORTOLANDIA;02352;090;02352-090;;;011;22040300;+55 11 2204-0300;29528254;+55 11 2952-8254;;E001272A@EDUCACAO.SP.GOV.BR;;e001272a@educacao.sp.gov.br;05
NORTE 2;81;TREMEMBE;1;08;35048616;JOAO BAPTISTA ALVES SILVA PROF;Joao Baptista Alves Silva Prof;R MANUEL VIEIRA DA LUZ;384;;SITIO DO PIQUERI;02318;020;02318-020;;;011;22431428;+55 11 2243-1428;22437666;+55 11 2243-7666;22437666;E048616A@EDUCACAO.SP.GOV.BR;+55 11 2243-7666;e048616a@educacao.sp.gov.br;05
NORTE 2;81;TREMEMBE;1;08;35906153;TEREZINE ARANTES FERRAZ BIBLIOTECARIA;Terezine Arantes Ferraz Bibliotecaria;R DO USHIKICHI KAMIYA;1300;;PARQUE CASA DE PEDRA;02323;000;02323-000;;;011;29953908;+55 11 2995-3908;29921451;+55 11 2992-1451;29953908;E906153A@EDUCACAO.SP.GOV.BR;+55 11 2995-3908;e906153a@educacao.sp.gov.br;04
NORTE 2;81;TREMEMBE;1;08;35906797;IZAC SILVERIO PROF;Izac Silverio Prof;R BITENCOURT DA SILVA;218;;JARDIM VIRGINIA BIANCA;02356;070;02356-070;;;011;29535219;+55 11 2953-5219;22043826;+55 11 2204-3826;22043826;E906797A@EDUCACAO.SP.GOV.BR;+55 11 2204-3826;e906797a@educacao.sp.gov.br;06
NORTE 2;81;TREMEMBE;1;08;35925184;SERGIO DA COSTA PROF;Sergio Da Costa Prof;R PRESIDENTE BARTOLOME MITRE;298;;ASSOCIACAO SOBRADINHO;02361;040;02361-040;;;011;29928058;+55 11 2992-8058;29950047;+55 11 2995-0047;;E925184A@EDUCACAO.SP.GOV.BR;;e925184a@educacao.sp.gov.br;04
NORTE 2;82;TUCURUVI;1;06;35985016;CEL JTO A EE ALBINO CESAR;Cel Jto A Ee Albino Cesar;R CAJAMAR;5;;VILA MAZZEI;02308;090;02308-090;;;011;22036695;+55 11 2203-6695;29945804;+55 11 2994-5804;;E001173A@EDUCACAO.SP.GOV.BR;;e001173a@educacao.sp.gov.br;03
NORTE 2;82;TUCURUVI;1;08;35001016;ALBERTO CARDOSO DE MELLO NETO DR;Alberto Cardoso De Mello Neto Dr;AV PROFESSORA VIRGILIA RODRIGUES ALVES DE CARVALHO PINTO;633;;JARDIM LEONOR MENDES DE BARROS;02346;000;02346-000;;;011;22040517;+55 11 2204-0517;;;29537039;E001016A@EDUCACAO.SP.GOV.BR;+55 11 2953-7039;e001016a@educacao.sp.gov.br;01
NORTE 2;82;TUCURUVI;1;08;35001181;RAFAEL DE MORAES LIMA PROF;Rafael De Moraes Lima Prof;R LAVINIA PACHECO E SILVA;SN;;JARDIM LEONOR MENDES DE BARROS;02346;140;02346-140;;;011;22043300;+55 11 2204-3300;29917825;+55 11 2991-7825;22043300;E001181A@EDUCACAO.SP.GOV.BR;+55 11 2204-3300;e001181a@educacao.sp.gov.br;01
NORTE 2;92;VILA MEDEIROS;1;08;35001065;DAVID EUGENIO DOS SANTOS PROF;David Eugenio Dos Santos Prof;R JOSE DE ALMEIDA;1377;;VILA MEDEIROS;02204;001;02204-001;;;011;29895187;+55 11 2989-5187;29870622;+55 11 2987-0622;;E001065A@EDUCACAO.SP.GOV.BR;;e001065a@educacao.sp.gov.br;04
NORTE 2;92;VILA MEDEIROS;1;08;35001211;MIGUEL VIEIRA FERREIRA DR;Miguel Vieira Ferreira Dr;R FRANCISCO DE MEDEIROS JORDAO;628;;VILA MEDEIROS;02214;030;02214-030;;;011;22015595;+55 11 2201-5595;;;29869783;E001211A@EDUCACAO.SP.GOV.BR;+55 11 2986-9783;e001211a@educacao.sp.gov.br;05
NORTE 2;92;VILA MEDEIROS;1;08;35001296;CARMOSINA MONTEIRO VIANNA PROFA;Carmosina Monteiro Vianna Profa;R ANTONIO PALMIERI;377;;JARDIM BRASIL (ZONA NORTE);02210;000;02210-000;;;011;22013411;+55 11 2201-3411;22121433;+55 11 2212-1433;22121433;E001296A@EDUCACAO.SP.GOV.BR;+55 11 2212-1433;e001296a@educacao.sp.gov.br;03
NORTE 2;92;VILA MEDEIROS;1;08;35037795;JUSTINO CARDOSO DR;Justino Cardoso Dr;R JOAO SOUTO MAIOR;465;;VILA MEDEIROS;02218;000;02218-000;;;011;22012188;+55 11 2201-2188;;;29490017;E037795A@EDUCACAO.SP.GOV.BR;+55 11 2949-0017;e037795a@educacao.sp.gov.br;04
LESTE 5;01;AGUA RASA;1;08;35001806;JOY ARRUDA DOUTOR;Joy Arruda Doutor;R BATUNS;52;;VILA SANTA CLARA;03273;410;03273-410;;;011;22110319;+55 11 2211-0319;22136719;+55 11 2213-6719;22110319;E001806A@EDUCACAO.SP.GOV.BR;+55 11 2211-0319;e001806a@educacao.sp.gov.br;03
LESTE 5;04;ARICANDUVA;1;08;35001961;NORBERTO MAYER FILHO DEPUTADO;Norberto Mayer Filho Deputado;R PADRE MANUEL LUIS DE VERGUEIRO;365;;VILA ANTONIETA;03476;000;03476-000;;;011;27245466;+55 11 2724-5466;27247408;+55 11 2724-7408;27247408;E001961A@EDUCACAO.SP.GOV.BR;+55 11 2724-7408;e001961a@educacao.sp.gov.br;03
LESTE 5;08;BELEM;1;08;35001466;AMADEU AMARAL;Amadeu Amaral;LARGO SAO JOSE DO BELEM;66;;BELENZINHO;03057;040;03057-040;;;011;26943382;+55 11 2694-3382;;;26948129;E001466A@EDUCACAO.SP.GOV.BR;+55 11 2694-8129;e001466a@educacao.sp.gov.br;01
LESTE 5;08;BELEM;2;34;35414360;CENTRO DE ATEND SOCIOEDUC AO ADOLESC BELA VISTA UI;Centro De Atend Socioeduc Ao Adolesc Bela Vista Ui;AVENIDA CONDESSA ELISABETH ROBIANO;450;;BELEM;03074;000;03074-000;;;011;26184018;+55 11 2618-4018;20813853;+55 11 2081-3853;;SECESCOLARDRM5@CASA.SP.GOV.BR;;secescolardrm5@casa.sp.gov.br;01
LESTE 5;72;SAO LUCAS;1;08;35001740;STEFAN ZWEIG;Stefan Zweig;R GENARO ARILA ARENSANZ;225;;VILA IVONE;03275;090;03275-090;;;011;21544166;+55 11 2154-4166;;;22130020;E001740A@EDUCACAO.SP.GOV.BR;+55 11 2213-0020;e001740a@educacao.sp.gov.br;01
LESTE 5;85;VILA FORMOSA;1;08;35002197;IRENE DE LIMA PAIVA PROFESSORA;Irene De Lima Paiva Professora;R LUTECIA;1966;;VILA CARRAO;03423;000;03423-000;;;011;20975384;+55 11 2097-5384;20970189;+55 11 2097-0189;20975384;E002197A@EDUCACAO.SP.GOV.BR;+55 11 2097-5384;e002197a@educacao.sp.gov.br;01
LESTE 1;18;CANGAIBA;1;08;35002707;VITAL FOGACA DE ALMEIDA DOUTOR;Vital Fogaca De Almeida Doutor;R MALACACHETA;118;;JARDIM JAU (ZONA LESTE);03713;020;03713-020;;;011;26410901;+55 11 2641-0901;26412641;+55 11 2641-2641;;E002707A@EDUCACAO.SP.GOV.BR;;e002707a@educacao.sp.gov.br;04
LESTE 1;18;CANGAIBA;1;08;35002847;MIGUEL DE CERVANTES Y SAAVEDRA DOM;Miguel De Cervantes Y Saavedra Dom;R CANDIDO MOTA;267;;JARDIM PENHA;03759;000;03759-000;;;011;25415333;+55 11 2541-5333;;;25465968;E002847A@EDUCACAO.SP.GOV.BR;+55 11 2546-5968;e002847a@educacao.sp.gov.br;02
LESTE 1;28;ERMELINO MATARAZZO;1;08;35924258;PARQUE ECOLOGICO;Parque Ecologico;RUA JAPICHAUA;300;;JARDIM MATARAZZO;03813;310;03813-310;;;011;25451776;+55 11 2545-1776;25412715;+55 11 2541-2715;;E924258A@EDUCACAO.SP.GOV.BR;;e924258a@educacao.sp.gov.br;01
LESTE 1;37;ITAQUERA;1;08;35003062;EMILIA DE PAIVA MEIRA PROFESSORA;Emilia De Paiva Meira Professora;R PORTO XAVIER;172;;VILA CARMOSINA;08210;170;08210-170;;;011;22860014;+55 11 2286-0014;22864754;+55 11 2286-4754;;E003062A@EDUCACAO.SP.GOV.BR;;e003062a@educacao.sp.gov.br;02
LESTE 1;37;ITAQUERA;1;08;35040320;CASSIO CIAMPOLINI DEPUTADO;Cassio Ciampolini Deputado;R GUAPEBA;15;;VILA VERDE;08235;160;08235-160;;;011;20532633;+55 11 2053-2633;20532606;+55 11 2053-2606;;E040320A@EDUCACAO.SP.GOV.BR;;e040320a@educacao.sp.gov.br;05
LESTE 1;37;ITAQUERA;1;08;35912268;IRINEU MONTEIRO DE PINHO REV;Irineu Monteiro De Pinho Rev;R CHUVA E SOL;41;;CONJUNTO HABITACIONAL A E CARVALHO;08225;560;08225-560;;;011;21415766;+55 11 2141-5766;20809098;+55 11 2080-9098;;E912268A@EDUCACAO.SP.GOV.BR;;e912268a@educacao.sp.gov.br;06
LESTE 1;59;PENHA;1;08;35002461;JOAO MARIA OGNO OSB DOM;Joao Maria Ogno Osb Dom;R MARIA CARLOTA;400;;VILA ESPERANCA;03647;000;03647-000;;;011;29574280;+55 11 2957-4280;26841042;+55 11 2684-1042;;E002461A@EDUCACAO.SP.GOV.BR;;e002461a@educacao.sp.gov.br;02
LESTE 1;59;PENHA;1;08;35002665;SOUZA QUEIROZ BARAO DE;Souza Queiroz Barao De;AV GABRIELA MISTRAL;520;;PENHA DE FRANCA;03701;010;03701-010;;;011;26419035;+55 11 2641-9035;26418455;+55 11 2641-8455;;E002665A@EDUCACAO.SP.GOV.BR;;e002665a@educacao.sp.gov.br;01
LESTE 1;87;VILA JACUI;1;08;35002884;RAUL PILLA DEPUTADO;Raul Pilla Deputado;RUA SAO BERLOTO;449;;PARQUE CRUZEIRO DO SUL;08070;380;08070-380;;;011;22971016;+55 11 2297-1016;29565532;+55 11 2956-5532;;E002884A@EDUCACAO.SP.GOV.BR;;e002884a@educacao.sp.gov.br;02
LESTE 1;87;VILA JACUI;1;08;35037345;TIDE SETUBAL;Tide Setubal;R JAIME BARCELOS;535;;VILA JACUI;08060;200;08060-200;;;011;22970138;+55 11 2297-0138;22972766;+55 11 2297-2766;;E037345A@EDUCACAO.SP.GOV.BR;;e037345a@educacao.sp.gov.br;04
LESTE 4;24;CIDADE LIDER;1;08;35909002;ANTENOR SANTOS DE OLIVEIRA PROF;Antenor Santos De Oliveira Prof;R HELENA DOS SANTOS;SN;;JARDIM FERNANDES;03581;200;03581-200;;;011;27424701;+55 11 2742-4701;27427032;+55 11 2742-7032;27424701;E909002A@EDUCACAO.SP.GOV.BR;+55 11 2742-4701;e909002a@educacao.sp.gov.br;02
LESTE 4;57;PARQUE DO CARMO;1;08;35902810;JOZINEIDE PEREIRA GAUDINO;Jozineide Pereira Gaudino;R JOAQUIM MEIRA DE SIQUEIRA;200;;JARDIM NOSSA SENHORA DO CARMO;08275;490;08275-490;;;011;27489464;+55 11 2748-9464;;;27486421;E902810A@EDUCACAO.SP.GOV.BR;+55 11 2748-6421;e902810a@educacao.sp.gov.br;03
LESTE 4;73;SAO MATEUS;1;08;35003232;ADELINO JOSE DA SILVA D AZEVEDO PROF;Adelino Jose Da Silva D Azevedo Prof;R ALBERTO DE MACEDO;127;;JARDIM SANTA ADELIA;03973;000;03973-000;;;011;29191682;+55 11 2919-1682;29625092;+55 11 2962-5092;29191682;E003232A@EDUCACAO.SP.GOV.BR;+55 11 2919-1682;e003232a@educacao.sp.gov.br;05
LESTE 4;76;SAPOPEMBA;1;08;35268288;FAZENDA DA JUTA VI;Fazenda Da Juta Vi;R LISA NOBLET;62;;FAZENDA DA JUTA;03977;002;03977-002;;;011;29192452;+55 11 2919-2452;20176482;+55 11 2017-6482;;E268288A@EDUCACAO.SP.GOV.BR;;e268288a@educacao.sp.gov.br;05
LESTE 4;76;SAPOPEMBA;1;08;35908939;LIBERATO GROSSI PROF;Liberato Grossi Prof;R ILHA DA TRINDADE;457;;PARQUE SANTA MADALENA;03981;020;03981-020;;;011;27034839;+55 11 2703-4839;27189716;+55 11 2718-9716;27034839;E908939A@EDUCACAO.SP.GOV.BR;+55 11 2703-4839;e908939a@educacao.sp.gov.br;07
LESTE 2;36;ITAIM PAULISTA;1;08;35002938;ALBERTO SCHWEITZER;Alberto Schweitzer;PC MATACOES;35;;JARDIM CAMARGO NOVO;08120;180;08120-180;;;011;29632497;+55 11 2963-2497;25674335;+55 11 2567-4335;25674335;E002938A@EDUCACAO.SP.GOV.BR;+55 11 2567-4335;e002938a@educacao.sp.gov.br;05
LESTE 2;36;ITAIM PAULISTA;1;08;35039123;CHARLES DE GAULLE;Charles De Gaulle;RUA ANTONIO JOAO MEDEIROS;810;;JARDIM INA;08140;060;08140-060;;;011;29632637;+55 11 2963-2637;;;;E039123A@EDUCACAO.SP.GOV.BR;;e039123a@educacao.sp.gov.br;08
LESTE 2;36;ITAIM PAULISTA;1;08;35902597;NEYDY DE CAMPOS MELGES PROF;Neydy De Campos Melges Prof;R MARGARIDA CARLOS DE ALBUQUERQUE;288;;JARDIM LAURA;08142;260;08142-260;;;011;29632567;+55 11 2963-2567;29638618;+55 11 2963-8618;29632567;E902597A@EDUCACAO.SP.GOV.BR;+55 11 2963-2567;e902597a@educacao.sp.gov.br;09
LESTE 2;36;ITAIM PAULISTA;1;08;35902861;FRANCISCO PARENTE;Francisco Parente;RUA TOSHIO YOSHIDA;11;;VILA ODETE;08111;710;08111-710;;;011;29632449;+55 11 2963-2449;;;;E902861A@EDUCACAO.SP.GOV.BR;;e902861a@educacao.sp.gov.br;02
LESTE 2;36;ITAIM PAULISTA;1;08;35914691;LIVIO XAVIER;Livio Xavier;R ANTONIO JOAO DE MEDEIROS;2040;;JARDIM LUCIANA;08140;060;08140-060;;;011;29631796;+55 11 2963-1796;;;;E914691A@EDUCACAO.SP.GOV.BR;;e914691a@educacao.sp.gov.br;08
LESTE 2;36;ITAIM PAULISTA;1;08;35916523;EDER BERNARDES DOS SANTOS SOLDADO PM;Eder Bernardes Dos Santos Soldado Pm;R ARY CORDOVIL;251;CONJUNTO HABI;ITAIM PAULISTA;08131;300;08131-300;;;011;29632122;+55 11 2963-2122;29631120;+55 11 2963-1120;;E916523A@EDUCACAO.SP.GOV.BR;;e916523a@educacao.sp.gov.br;06
LESTE 2;74;SAO MIGUEL;1;08;35037035;ASTROGILDO ARRUDA PROF;Astrogildo Arruda Prof;R DOMINGOS DO SACRAMENTO;275;;VILA CAROLINA;08040;130;08040-130;;;011;22973722;+55 11 2297-3722;22970171;+55 11 2297-0171;;E037035A@EDUCACAO.SP.GOV.BR;;e037035a@educacao.sp.gov.br;07
LESTE 2;74;SAO MIGUEL;1;08;35283885;HELIO HELENE;Helio Helene;RUA GURGUEIA;SN;;UNIAO DE VILA NOVA;08072;132;08072-132;;;011;20378674;+55 11 2037-8674;;;;E283885A@EDUCACAO.SP.GOV.BR;;e283885a@educacao.sp.gov.br;02
LESTE 2;84;VILA CURUCA;1;08;35036785;PEDRO VIRIATO PARIGOT DE SOUZA ENGENHEIRO;Pedro Viriato Parigot De Souza Engenheiro;R BENJAMIN CAPUSSO;836;;VILA CURUCA;08031;760;08031-760;;;011;20355677;+55 11 2035-5677;20350675;+55 11 2035-0675;20350675;E036785A@EDUCACAO.SP.GOV.BR;+55 11 2035-0675;e036785a@educacao.sp.gov.br;02
LESTE 2;84;VILA CURUCA;1;08;35902834;MARCELO TULMAN NETO;Marcelo Tulman Neto;RUA BELADONA;372;;JD MIRAGAIA;08161;330;08161-330;;;011;20353699;+55 11 2035-3699;;;;E902834A@EDUCACAO.SP.GOV.BR;;e902834a@educacao.sp.gov.br;04
LESTE 2;84;VILA CURUCA;1;08;35909178;ROSARITA TORKOMIAN PROFA;Rosarita Torkomian Profa;R ALTOLANDIA;140;;PARQUE DOM JOAO NERI;08151;280;08151-280;;;011;20351914;+55 11 2035-1914;20356954;+55 11 2035-6954;20351914;E909178A@EDUCACAO.SP.GOV.BR;+55 11 2035-1914;e909178a@educacao.sp.gov.br;08
LESTE 2;84;VILA CURUCA;1;08;35923539;AMADOR DOS SANTOS FERNANDES PROF;Amador Dos Santos Fernandes Prof;R JOAO MENDES DE CARVALHO;85;;JARDIM ROBRU;08150;450;08150-450;;;011;20359515;+55 11 2035-9515;20358688;+55 11 2035-8688;20358688;E923539A@EDUCACAO.SP.GOV.BR;+55 11 2035-8688;e923539a@educacao.sp.gov.br;06
LESTE 2;84;VILA CURUCA;1;08;35924003;CLEISE MARISA SIQUEIRA PROFA;Cleise Marisa Siqueira Profa;R PEDRO RODRIGUES;99;JARDIM SANTA;PARQUE SANTA RITA;08150;110;08150-110;;;011;25115177;+55 11 2511-5177;20358301;+55 11 2035-8301;25115177;E924003A@EDUCACAO.SP.GOV.BR;+55 11 2511-5177;e924003a@educacao.sp.gov.br;06
LESTE 2;84;VILA CURUCA;2;34;35559738;CENTRO ATEND SOCIO-EDUC ADOLESC - VILA CONCEICAO-UI;Centro Atend Socio-Educ Adolesc - Vila Conceicao-Ui;RUA JEAN LACOME;78;;JARDIM QUISISANA (VILA NOVA CURUCA);08150;586;08150-586;;;011;25147122;+55 11 2514-7122;;;;;;;07
LESTE 2;96;LAJEADO;1;08;35003050;ELIZA RAQUEL MACEDO DE SOUZA PROFA;Eliza Raquel Macedo De Souza Profa;R DARCI MANO;97;;VILA ODETE;08440;400;08440-400;;;011;25579013;+55 11 2557-9013;29610231;+55 11 2961-0231;25579013;E003050A@EDUCACAO.SP.GOV.BR;+55 11 2557-9013;e003050a@educacao.sp.gov.br;05
LESTE 2;96;LAJEADO;1;08;35037072;JOAQUIM EUGENIO LIMA NETO;Joaquim Eugenio Lima Neto;R CHAPADA DIAMANTINA;521;;GUAIANAZES;08450;150;08450-150;;;011;25579569;+55 11 2557-9569;;;;E037072A@EDUCACAO.SP.GOV.BR;;e037072a@educacao.sp.gov.br;02
LESTE 2;96;LAJEADO;1;08;35909191;AURELIO BUARQUE DE HOLANDA FERREIRA PROF;Aurelio Buarque De Holanda Ferreira Prof;R DOUTOR JOSE GRAVONSKI;90;;JARDIM ROBRU;08441;000;08441-000;;;011;20351836;+55 11 2035-1836;;;;E909191A@EDUCACAO.SP.GOV.BR;;e909191a@educacao.sp.gov.br;05
LESTE 2;96;LAJEADO;1;08;35916754;PEDRO GERALDO COSTA DEPUTADO;Pedro Geraldo Costa Deputado;R FRANCISCO CAPARA;75;;LAGEADO;08450;570;08450-570;;;011;25576069;+55 11 2557-6069;29612343;+55 11 2961-2343;;E916754A@EDUCACAO.SP.GOV.BR;;e916754a@educacao.sp.gov.br;01
LESTE 2;96;LAJEADO;1;08;35923515;MIGUEL HIDALGO;Miguel Hidalgo;R ANIBAL THOMAZ GOMES;121;;JARDIM NOVA GUAIANAZES;08431;191;08431-191;;;011;29612251;+55 11 2961-2251;29612041;+55 11 2961-2041;29612251;E923515A@EDUCACAO.SP.GOV.BR;+55 11 2961-2251;e923515a@educacao.sp.gov.br;08
LESTE 3;31;GUAIANASES;1;08;35003268;SEBASTIAO FARIA ZIMBRES PROFESSOR;Sebastiao Faria Zimbres Professor;R QUINTA DO PACO;45;;VILA BELA VISTA;08411;280;08411-280;;;011;25579167;+55 11 2557-9167;25571248;+55 11 2557-1248;;E003268A@EDUCACAO.SP.GOV.BR;;e003268a@educacao.sp.gov.br;02
LESTE 3;31;GUAIANASES;1;08;35906189;BERNARDIM RIBEIRO;Bernardim Ribeiro;AV UTARO KANAI;501;;CONJUNTO HABITACIONAL JUSCELINO KUBITSCHEK;08465;000;08465-000;;;011;25552814;+55 11 2555-2814;25552583;+55 11 2555-2583;25552814;E906189A@EDUCACAO.SP.GOV.BR;+55 11 2555-2814;e906189a@educacao.sp.gov.br;04
LESTE 3;31;GUAIANASES;2;34;35392873;CENTRO DE ATEND SOCIOEDUC AO ADOLESC GUAIANAZES II UI;Centro De Atend Socioeduc Ao Adolesc Guaianazes Ii Ui;R JULIO GOUVEIA;SN;;CONJUNTO HABITACIONAL JUSCELINO KUBITSCHEK;08465;009;08465-009;;;011;34688910;+55 11 3468-8910;;;;;;;04
LESTE 1;37;ITAQUERA;1;08;35003190;ALVARES DE AZEVEDO;Alvares De Azevedo;R IGNACIO ALVES DE MATTOS;281;;ITAQUERA;08210;210;08210-210;;;011;22056798;+55 11 2205-6798;22862296;+55 11 2286-2296;;E003190A@EDUCACAO.SP.GOV.BR;;e003190a@educacao.sp.gov.br;02
LESTE 1;37;ITAQUERA;1;08;35003219;MARIA DA CONCEICAO OLIVEIRA COSTA PROFESSORA;Maria Da Conceicao Oliveira Costa Professora;R LAGOA TAI GRANDE;475;;ITAQUERA;08290;500;08290-500;;;011;25243063;+55 11 2524-3063;25246812;+55 11 2524-6812;;E003219A@EDUCACAO.SP.GOV.BR;;e003219a@educacao.sp.gov.br;02
LESTE 1;37;ITAQUERA;1;08;35925251;COHAB AGUIA DE HAIA I;Cohab Aguia De Haia I;R BORJA CASTRO;231;;CIDADE ANTONIO ESTEVAO DE CARVALHO;08223;340;08223-340;;;011;20492750;+55 11 2049-2750;;;20492741;E925251A@EDUCACAO.SP.GOV.BR;+55 11 2049-2741;e925251a@educacao.sp.gov.br;07
LESTE 1;59;PENHA;1;08;35002513;NOSSA SENHORA DA PENHA;Nossa Senhora Da Penha;RUA PADRE BENEDITO DE CAMARGO;762;;PENHA DE FRANCA;03604;000;03604-000;;;011;26470941;+55 11 2647-0941;26477604;+55 11 2647-7604;;E002513A@EDUCACAO.SP.GOV.BR;;e002513a@educacao.sp.gov.br;01
LESTE 1;59;PENHA;1;08;35002574;CUSTODIO JOSE DE MELLO ALMIRANTE;Custodio Jose De Mello Almirante;R ALICANTE;483;;VILA GRANADA;03654;010;03654-010;;;011;29577517;+55 11 2957-7517;26848207;+55 11 2684-8207;;E002574A@EDUCACAO.SP.GOV.BR;;e002574a@educacao.sp.gov.br;03
